ply_id,theta_deg,z_bot_mm,z_top_mm,sig_top_xx_Pa,sig_bot_xx_Pa
0,0,-0.5,-0.375,-7022634.109357766,-9363512.145810355
1,45,-0.375,-0.25,-625067.895166958,-937601.842750437
2,-45,-0.25,-0.125,-473283.06742904044,-946566.1348580809
3,90,-0.125,0.0,2.2860986577753897e-12,-136386.17516480756
4,90,0.0,0.125,136386.17516480756,2.2860986577753897e-12
5,-45,0.125,0.25,946566.1348580809,473283.06742904044
6,45,0.25,0.375,937601.842750437,625067.895166958
7,0,0.375,0.5,9363512.145810355,7022634.109357766
